,Depot,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacán,Morelos,México (state),Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
Depot,0.0,452.71,2734.72,1820.16,1165.11,859.49,1403.67,800.89,684.13,856.91,335.06,419.73,68.59,518.87,265.04,120.46,70.4,819.62,864.57,493.64,161.51,174.35,1638.4,371.27,1193.69,1861.58,779.67,435.11,141.64,293.56,1338.5,574.46
Aguascalientes,453.11,0.0,2502.58,1532.34,1613.98,1308.37,947.42,483.93,410.55,400.66,126.19,861.06,505.29,231.05,307.75,561.79,503.67,531.81,567.48,942.51,610.39,291.98,2087.28,164.4,905.88,1573.76,1228.54,616.13,590.51,742.93,1787.38,118.21
Baja California,2919.89,2341.0,0.0,1652.82,4080.26,3774.65,1385.84,2123.18,2574.8,2183.47,2633.65,3167.82,2971.57,2408.92,2694.26,2965.25,2918.99,2389.85,2427.35,3408.79,3076.67,2799.45,4553.56,2412.63,1750.84,1056.45,3694.82,2953.6,3056.79,3209.21,4253.65,2226.71
Baja California Sur,1816.92,1529.97,1656.14,0.0,2977.29,2671.67,1288.99,1591.12,1471.83,1080.5,1530.68,2064.84,1868.59,1305.95,1591.29,1862.27,1816.01,1286.88,1670.58,2305.81,1973.69,1696.47,3450.58,1637.94,647.86,918.95,2591.85,2090.02,1953.82,2106.23,3150.68,1373.32
Campeche,1184.57,1623.39,3904.89,2990.33,0.0,624.8,2574.35,1864.64,1854.3,2027.59,1505.74,1412.79,1160.91,1689.04,1435.2,1177.72,1174.76,1989.79,1783.03,1032.54,1020.24,1345.03,473.26,1541.95,2363.86,3031.75,385.84,1277.77,1051.76,948.22,173.36,1745.15
Chiapas,879.58,1318.4,3599.9,2685.35,624.54,0.0,2269.37,1559.66,1549.32,1722.61,1200.76,1107.81,855.92,1384.05,1130.22,872.74,869.77,1684.81,1478.05,516.16,715.25,1040.05,1097.84,1236.97,2058.88,2726.76,239.11,972.78,746.77,643.24,797.94,1440.16
Chihuahua,1407.1,950.28,1552.48,1287.9,2567.97,2262.36,0.0,732.46,1364.54,692.48,1080.18,1815.05,1459.28,1185.04,1261.74,1515.79,1457.66,1327.61,811.92,1896.5,1564.38,1245.98,3041.27,1021.91,736.56,688.81,2182.54,1316.06,1544.5,1696.92,2741.37,835.98
Coahuila,800.04,482.53,2281.16,1585.73,1871.27,1565.66,726.0,0.0,896.8,510.1,612.43,1207.99,852.21,717.3,754.87,908.72,850.59,1018.06,84.63,1289.43,957.31,636.77,2344.57,446.74,959.27,1627.15,1485.83,588.77,937.44,1089.85,2044.66,376.64
Colima,685.82,412.0,2394.35,1479.79,1846.18,1540.57,1362.96,899.47,0.0,816.2,412.7,648.91,737.49,200.89,460.19,731.17,684.91,372.46,983.02,1174.71,842.59,578.5,2319.48,519.97,853.33,1521.21,1460.75,972.05,822.72,975.13,2019.58,533.76
Durango,859.65,402.82,1994.94,1080.38,2020.51,1714.9,691.08,514.12,817.08,0.0,532.72,1267.59,911.82,637.59,714.28,968.33,910.2,639.88,593.58,1349.04,1016.92,698.52,2493.81,474.45,453.91,1121.79,1635.08,901.25,997.05,1149.46,2193.91,288.52
Guanajuato,337.78,124.31,2447.28,1532.73,1498.65,1193.03,1075.27,611.78,410.93,528.51,0.0,745.73,389.96,231.44,192.42,446.46,388.33,532.19,695.33,827.18,495.05,176.65,1971.94,192.48,906.26,1574.14,1113.21,609.55,475.18,627.59,1672.04,246.07
Guerrero,431.1,871.94,2984.8,2070.25,1402.06,1096.45,1822.9,1220.12,649.34,1276.14,754.29,0.0,481.44,768.96,585.21,302.39,381.68,935.96,1283.81,593.29,387.29,593.59,1875.36,790.5,1443.78,2111.66,1016.62,821.83,418.14,561.49,1575.45,993.7
Hidalgo,68.27,505.7,2787.2,1872.64,1149.97,844.35,1456.66,853.88,736.61,909.9,388.05,464.5,0.0,571.35,317.51,165.23,120.83,872.1,917.56,478.5,146.37,227.34,1623.26,424.26,1246.17,1914.06,764.53,369.57,126.5,278.91,1323.36,627.45
Jalisco,519.8,232.85,2223.02,1308.46,1680.17,1374.55,1183.82,720.33,196.59,637.06,233.56,767.73,571.48,0.0,294.17,565.15,518.9,307.92,803.88,1008.7,676.57,399.36,2153.46,340.82,682.0,1349.88,1294.73,792.91,656.7,809.11,1853.56,354.61
Michoacán,263.85,307.51,2508.88,1594.33,1424.21,1118.6,1258.47,755.04,458.3,711.71,189.86,584.49,315.52,293.04,0.0,309.2,262.94,593.79,818.73,752.74,420.62,189.08,1897.51,325.43,967.86,1635.74,1038.78,681.07,400.75,553.16,1597.61,429.26
Morelos,132.1,572.94,2785.59,1871.03,1167.69,862.07,1523.9,921.12,735.0,977.14,455.29,295.77,182.44,569.74,315.91,0.0,81.78,870.5,984.8,496.22,152.92,294.58,1640.98,491.5,1244.57,1912.45,782.25,524.03,183.77,327.12,1341.08,694.69
México (state),57.73,498.56,2733.63,1819.07,1170.57,864.95,1449.53,846.74,683.05,902.77,380.91,386.82,123.26,517.78,263.95,87.55,0.0,818.54,910.43,499.1,166.97,220.21,1643.86,417.13,1192.61,1860.49,785.13,473.76,152.5,318.27,1343.96,620.32
Nayarit,816.72,529.77,2198.88,1284.32,1977.08,1671.47,1324.65,1017.24,371.8,637.07,530.47,934.38,868.39,305.75,591.09,862.07,815.81,0.0,1100.79,1305.61,973.49,696.27,2450.38,637.74,657.85,1325.74,1591.65,1089.82,953.62,1106.03,2150.48,651.53
Nuevo León,869.93,569.8,2431.67,1667.3,1791.45,1485.83,807.57,86.8,984.07,591.66,699.7,1277.88,922.11,804.57,824.77,978.62,920.49,1105.32,0.0,1261.7,1027.21,706.67,2264.74,516.64,1040.83,1708.71,1406.01,508.95,918.69,920.99,1964.84,463.91
Oaxaca,502.71,941.53,3223.03,2308.47,1033.22,516.54,1892.5,1289.71,1172.45,1345.74,823.88,592.81,479.05,1007.18,753.35,495.87,492.9,1307.94,1249.14,0.0,338.38,663.18,1506.52,860.1,1682.01,2349.89,647.79,743.87,369.9,436.86,1206.62,1063.29
Puebla,170.63,609.45,2890.95,1976.4,1013.24,707.63,1560.42,957.64,840.37,1013.66,491.81,386.36,146.97,675.11,421.27,151.29,160.83,975.86,1021.32,341.77,0.0,331.1,1486.54,528.02,1349.93,2017.81,627.8,441.52,37.82,172.67,1186.64,731.21
Querétaro,174.33,292.23,2615.2,1700.64,1335.2,1029.58,1243.19,638.0,578.85,696.43,174.58,582.28,226.51,399.35,191.49,283.01,224.88,700.11,701.68,663.72,331.6,0.0,1808.49,208.38,1074.18,1742.06,949.76,592.05,311.73,464.14,1508.59,413.98
Quintana Roo,1658.5,2097.32,4378.82,3464.26,473.46,1098.74,3048.29,2338.57,2328.24,2501.52,1979.67,1886.72,1634.84,2162.97,1909.14,1651.66,1648.69,2463.73,2256.97,1506.47,1494.17,1818.97,0.0,2015.89,2837.8,3505.68,859.77,1751.7,1525.69,1422.15,304.3,2219.08
San Luis Potosí,371.35,163.17,2573.62,1640.35,1532.22,1226.6,1018.46,447.63,518.56,471.7,180.58,779.3,423.53,339.06,326.18,480.03,421.9,639.81,511.32,860.75,528.62,208.08,2005.51,0.0,1013.88,1681.77,1146.78,431.14,508.75,661.16,1705.61,188.97
Sinaloa,1205.71,918.77,1561.73,647.17,2366.08,2060.47,737.34,979.91,860.63,469.29,919.47,1453.64,1257.39,694.75,980.09,1251.07,1204.81,675.67,1059.38,1694.61,1362.49,1085.27,2839.38,1026.74,0.0,688.59,1980.65,1478.82,1342.61,1495.03,2539.48,762.11
Sonora,1857.99,1571.04,869.03,918.51,3018.35,2712.74,689.15,1632.19,1512.9,1121.56,1571.74,2105.91,1909.66,1347.02,1632.36,1903.34,1857.08,1327.94,1711.65,2346.88,2014.76,1737.54,3491.65,1679.01,688.93,0.0,2632.92,2131.09,1994.89,2147.3,3191.75,1414.39
Tabasco,800.06,1238.88,3520.38,2605.82,384.17,240.29,2189.84,1480.13,1469.79,1643.08,1121.23,1028.28,776.4,1304.53,1050.7,793.21,790.25,1605.28,1398.52,648.03,635.73,960.53,857.47,1157.44,1979.36,2647.24,0.0,893.26,667.25,563.71,557.57,1360.64
Tamaulipas,435.44,616.68,2930.43,2094.08,1277.07,971.45,1310.24,589.47,972.29,897.9,608.23,820.34,370.46,792.79,681.74,513.59,469.94,1093.55,507.86,747.32,441.59,591.57,1750.36,431.76,1467.62,2135.5,891.63,0.0,404.31,406.61,1450.46,615.17
Tlaxcala,141.78,589.46,2870.96,1956.4,1041.0,735.38,1540.42,937.64,820.37,993.66,471.81,416.15,126.98,655.11,401.27,181.08,148.75,955.86,908.47,369.52,37.4,311.1,1514.29,508.02,1329.93,1997.82,655.56,403.21,0.0,175.18,1214.39,711.21
Veracruz,292.54,740.75,3022.25,2107.69,947.67,642.05,1691.71,1088.93,971.67,1144.95,623.1,561.45,278.27,806.4,552.57,326.38,323.42,1107.16,912.44,438.97,171.34,462.4,1420.96,659.31,1481.23,2149.11,562.23,407.18,175.14,0.0,1121.06,862.51
Yucatán,1358.4,1797.22,4078.72,3164.16,173.36,798.64,2748.18,2038.47,2028.13,2201.42,1679.57,1586.62,1334.74,1862.87,1609.04,1351.56,1348.59,2163.63,1956.86,1206.37,1194.07,1518.87,304.65,1715.78,2537.7,3205.58,559.67,1451.6,1225.59,1122.05,0.0,1918.98
Zacatecas,577.81,120.98,2389.98,1376.1,1738.68,1433.06,834.83,375.62,535.25,288.07,250.88,985.76,629.99,355.75,432.45,686.49,628.36,656.5,459.17,1067.21,735.08,416.68,2211.97,192.2,749.64,1417.52,1353.24,619.0,715.21,867.62,1912.07,0.0
