,Venustiano Carranza,"San Andrés Cholula, Puebla, San Pedro Cholula, Cuautlancingo, PUEBLA, Tlaxcala","Zapopan, Guadalajara, ZAPOPAN, GUADALAJARA, zapopan, Tlaquepaque, guadalajara, Tlajomulco de Zúñiga, Zapopan, Jalisco, Tlajomulco de Zuñiga, San Pedro Tlaquepaque","Monterrey, San Pedro Garza Garcia, San Pedro Garza García, Santa Catarina, Apodaca, Guadalupe, MONTERREY, monterrey, San Nicolás de los Garza, San Nicolas de los Garza, Garcia, SAN PEDRO GARZA GARCIA, General Escobedo","Benito Juárez, Cancun, Benito Juarez, Cancún, BENITO JUAREZ, CANCUN","Mexico, México, MEXICO, mexico","Queretaro, Querétaro, QUERETARO, queretaro","Merida, Mérida, MERIDA, merida",Puerto Vallarta,"San Luis Potosí, San Luis Potosi, SAN LUIS POTOSI","Leon, León, LEON","Xalapa, Veracruz",Playa del Carmen,Saltillo,Aguascalientes,Morelia,Chihuahua,"Corregidora, El Marqués, El Marques, Santiago de Querétaro",Celaya,Tulum,San Miguel de Allende,"Oaxaca, Oaxaca de Juárez","Culiacan, Culiacán",Tijuana,Hermosillo,Colima,Villahermosa,La Paz,Puerto Escondido,Coatzacoalcos,Mexicali,Acapulco,Tepic
Venustiano Carranza,0.0,792.96,1454.63,1565.03,1106.46,1638.88,1138.4,807.59,1766.21,1377.04,1283.84,714.92,1035.63,1645.19,1398.84,1230.52,2344.12,1127.36,1164.0,1028.94,1174.89,585.74,2139.71,3677.68,2811.74,1669.65,322.75,2578.11,659.76,326.31,3509.76,1188.15,1657.93
"San Andrés Cholula, Puebla, San Pedro Cholula, Cuautlancingo, PUEBLA, Tlaxcala",784.99,0.0,667.32,1026.82,1479.62,851.58,351.1,1180.75,978.9,589.74,496.53,197.9,1464.29,960.91,611.53,443.21,1556.81,340.06,376.7,1402.1,387.59,349.32,1352.4,2890.37,2024.43,882.35,624.16,1790.81,526.63,465.38,2722.45,389.99,870.63
"Zapopan, Guadalajara, ZAPOPAN, GUADALAJARA, zapopan, Tlaquepaque, guadalajara, Tlajomulco de Zúñiga, Zapopan, Jalisco, Tlajomulco de Zuñiga, San Pedro Tlaquepaque",1445.21,667.26,0.0,793.75,2139.85,459.35,459.22,1840.98,311.64,425.87,221.86,827.64,2124.52,702.04,219.3,310.52,1164.58,399.33,338.17,2062.33,338.02,1009.55,685.14,2223.11,1357.17,227.26,1284.38,1123.55,1186.85,1125.61,2055.19,756.57,203.37
"Monterrey, San Pedro Garza Garcia, San Pedro Garza García, Santa Catarina, Apodaca, Guadalupe, MONTERREY, monterrey, San Nicolás de los Garza, San Nicolas de los Garza, Garcia, SAN PEDRO GARZA GARCIA, General Escobedo",1572.35,1029.87,793.13,0.0,2266.98,340.24,769.33,1968.11,1104.71,461.03,699.98,969.75,2251.65,90.32,570.92,849.23,800.3,710.49,749.21,2189.46,680.31,1278.4,1039.64,2429.05,1711.67,1022.39,1411.52,1478.05,1455.7,1252.74,2240.21,1276.21,996.44
"Benito Juárez, Cancun, Benito Juarez, Cancún, BENITO JUAREZ, CANCUN",1107.72,1488.07,2149.74,2260.15,0.0,2334.0,1833.52,305.77,2461.32,2072.16,1978.95,1410.04,67.35,2340.31,2093.95,1925.63,3039.23,1822.48,1859.12,140.03,1870.01,1492.24,2834.82,4372.79,3506.85,2364.77,855.71,3273.23,1566.27,1021.42,4204.87,1883.26,2353.05
"Mexico, México, MEXICO, mexico",1633.56,855.6,462.17,341.85,2328.19,0.0,606.38,2029.32,773.75,339.81,369.02,1015.98,2312.87,250.15,239.96,574.77,874.31,546.49,485.33,2250.67,485.18,1197.9,813.84,2435.25,1485.87,691.43,1472.73,1252.24,1375.2,1313.95,2246.42,1101.95,665.47
"Queretaro, Querétaro, QUERETARO, queretaro",1126.41,348.45,459.93,765.57,1821.05,547.09,0.0,1522.17,771.51,328.48,247.66,508.83,1805.72,699.65,362.66,287.97,1307.95,78.82,127.83,1743.52,126.33,690.75,1145.01,2682.98,1817.04,689.19,965.58,1583.42,868.05,806.8,2515.06,594.8,663.24
"Merida, Mérida, MERIDA, merida",807.91,1188.26,1849.93,1960.34,306.41,2034.19,1533.71,0.0,2161.51,1772.35,1679.14,1110.22,291.08,2040.5,1794.14,1625.82,2739.42,1522.67,1559.31,228.89,1570.2,1192.43,2535.01,4072.98,3207.04,2064.96,555.89,2973.42,1266.46,721.61,3905.06,1583.45,2053.24
Puerto Vallarta,1753.57,975.61,309.77,1102.1,2448.2,767.7,767.57,2149.33,0.0,734.22,530.21,1135.99,2432.88,1010.39,527.65,618.88,1316.85,707.69,646.52,2370.68,646.37,1317.91,656.13,2194.1,1328.16,355.75,1592.74,1094.54,1336.1,1433.96,2026.18,936.9,178.87
"San Luis Potosí, San Luis Potosi, SAN LUIS POTOSI",1382.5,604.55,403.53,458.29,2077.14,339.81,344.01,1778.27,715.11,0.0,269.1,764.93,2061.81,392.37,240.8,423.91,1109.09,285.17,323.9,1999.62,254.99,946.84,1088.61,2670.03,1760.64,632.79,1221.67,1527.02,1124.14,1062.9,2481.19,850.9,606.84
"Leon, León, LEON",1275.88,497.92,220.79,697.98,1970.52,363.58,248.7,1671.64,532.37,254.57,0.0,658.3,1955.19,606.27,123.53,217.09,1068.81,188.81,127.65,1892.99,121.97,840.22,905.87,2443.84,1577.9,450.06,1115.05,1344.28,1017.52,956.28,2275.92,744.27,424.1
"Xalapa, Veracruz",712.18,196.17,824.1,959.19,1406.82,1008.35,507.88,1107.95,1135.68,746.52,653.31,0.0,1391.49,1039.35,768.31,599.99,1713.59,496.84,533.47,1329.3,544.36,480.94,1509.18,3047.15,2181.21,1039.13,551.35,1947.59,658.24,392.58,2879.23,588.92,1027.41
Playa del Carmen,1093.53,1473.88,2135.55,2245.96,68.59,2319.81,1819.33,291.58,2447.13,2057.97,1964.76,1395.85,0.0,2326.12,2079.76,1911.44,3025.04,1808.29,1844.93,95.78,1855.82,1478.05,2820.63,4358.6,3492.66,2350.58,841.51,3259.04,1552.08,1007.23,4190.68,1869.07,2338.86
Saltillo,1651.3,961.35,703.69,89.49,2345.93,250.8,700.8,2047.06,1015.27,392.51,610.54,1048.71,2330.61,0.0,481.48,780.71,720.57,641.97,680.69,2268.41,611.79,1303.64,959.91,2281.52,1631.94,932.95,1490.47,1398.32,1480.94,1331.69,2092.68,1207.69,907.0
Aguascalientes,1390.79,612.83,219.4,569.82,2085.42,235.42,363.61,1786.55,530.98,263.94,126.25,773.21,2070.1,478.11,0.0,332.0,940.66,303.72,242.56,2007.9,242.41,955.13,904.48,2501.6,1576.51,448.66,1229.96,1342.88,1132.43,1071.18,2312.76,859.18,422.7
Morelia,1218.09,440.13,309.81,846.11,1912.73,571.51,286.45,1613.85,621.39,409.03,216.47,600.51,1897.4,780.2,331.47,0.0,1276.75,226.57,155.87,1835.2,207.95,782.43,994.89,2532.86,1666.92,524.83,1057.26,1433.29,959.73,898.49,2364.94,572.34,513.11
Chihuahua,2328.48,1550.53,1157.09,797.26,3023.12,863.43,1301.3,2724.25,1310.49,1077.12,1063.94,1710.91,3007.79,713.38,934.89,1269.69,0.0,1241.42,1180.25,2945.6,1180.1,1892.82,803.12,1589.44,722.83,1386.35,2167.65,1129.71,2070.12,2008.88,1400.6,1796.87,1131.97
"Corregidora, El Marqués, El Marques, Santiago de Querétaro",1119.55,341.59,401.13,704.43,1814.18,485.95,71.72,1515.31,712.71,267.35,188.87,501.97,1798.86,638.52,303.87,229.17,1249.15,0.0,69.03,1736.66,65.19,683.89,1086.21,2624.18,1758.24,630.39,958.72,1524.62,861.19,799.94,2456.26,587.94,604.44
Celaya,1153.79,375.84,338.17,747.48,1848.43,480.95,126.61,1549.56,649.75,310.39,125.91,536.22,1833.1,681.56,240.91,156.32,1186.19,66.73,0.0,1770.91,51.96,718.13,1023.25,2561.22,1695.28,567.43,992.96,1461.66,895.43,834.19,2393.3,622.18,541.48
Tulum,1031.71,1412.06,2073.73,2184.14,142.88,2257.99,1757.51,229.76,2385.31,1996.15,1902.94,1334.02,94.57,2264.3,2017.94,1849.62,2963.22,1746.47,1783.11,0.0,1794.0,1416.23,2758.81,4296.78,3430.84,2288.76,779.69,3197.22,1490.26,945.41,4128.86,1807.25,2277.04
San Miguel de Allende,1165.18,387.23,338.73,679.17,1859.82,481.51,126.69,1560.95,650.31,242.09,122.41,547.61,1844.49,613.26,241.46,208.39,1186.74,67.99,51.93,1782.3,0.0,729.52,1023.81,2561.78,1695.84,567.99,1004.35,1462.21,906.82,845.58,2393.86,633.57,542.03
"Oaxaca, Oaxaca de Juárez",585.89,348.58,1010.24,1369.75,1492.84,1194.5,694.02,1193.96,1321.83,932.66,839.46,481.87,1477.51,1303.84,954.46,786.13,1899.74,682.98,719.62,1415.31,730.51,0.0,1695.33,3233.3,2367.36,1225.27,637.37,2133.73,206.0,478.6,3065.38,604.6,1213.55
"Culiacan, Culiacán",2141.99,1364.04,698.2,1060.11,2836.63,823.87,1156.0,2537.76,673.95,1122.64,918.64,1524.42,2821.3,976.23,916.08,1007.3,811.94,1096.11,1034.95,2759.11,1034.8,1706.33,0.0,1565.04,699.1,897.84,1981.16,465.48,1883.63,1822.39,1397.12,1453.34,495.43
Tijuana,3854.46,3076.5,2410.66,2422.62,4549.1,2267.84,2868.46,4250.22,2386.41,2730.84,2631.11,3236.88,4533.77,2117.79,2339.3,2719.77,1418.81,2808.58,2747.41,4471.57,2747.26,3418.8,1754.81,0.0,1053.05,2610.3,3693.63,1482.37,3596.1,3534.85,216.04,3165.81,2207.9
Hermosillo,2799.04,2021.09,1355.25,1717.16,3493.68,1480.92,1813.05,3194.81,1331.0,1779.69,1575.69,2181.47,3478.35,1633.28,1573.13,1664.35,717.94,1753.16,1692.0,3416.16,1691.85,2363.38,699.39,864.18,0.0,1554.89,2638.21,732.93,2540.68,2479.44,696.26,2110.39,1152.48
Colima,1659.8,881.84,230.12,1021.46,2354.44,687.06,686.93,2055.56,354.94,653.58,449.57,1042.22,2339.11,929.75,447.01,525.11,1392.3,627.05,565.88,2276.91,565.73,1224.14,888.73,2426.7,1560.76,0.0,1498.97,1327.14,1044.71,1340.19,2258.78,645.52,406.96
Villahermosa,323.82,632.32,1293.98,1404.39,856.57,1478.24,977.76,557.7,1605.56,1216.4,1123.19,554.28,841.24,1484.55,1238.19,1069.87,2183.48,966.72,1003.36,779.05,1014.25,636.49,1979.06,3517.03,2651.09,1509.01,0.0,2417.47,710.51,165.66,3349.11,1027.51,1497.29
La Paz,2564.75,1786.8,1120.96,1482.87,3259.39,1246.63,1578.76,2960.52,1096.71,1545.4,1341.4,1947.18,3244.06,1398.99,1338.84,1430.06,1124.57,1518.87,1457.71,3181.87,1457.56,2129.09,465.1,1474.38,732.36,1320.6,2403.92,0.0,2306.39,2245.15,1354.61,1876.11,918.19
Puerto Escondido,660.21,527.57,1189.23,1548.73,1567.15,1373.49,873.01,1268.28,1335.96,1111.65,1018.44,660.85,1551.82,1482.82,1133.44,965.12,2078.72,861.97,898.61,1489.63,909.5,205.83,1874.31,3412.28,2546.34,1044.23,711.68,2312.72,0.0,552.91,3244.36,399.6,1392.54
Coatzacoalcos,326.97,473.2,1134.87,1245.28,1021.61,1319.12,818.65,722.74,1446.45,1057.28,964.08,395.16,1006.28,1325.43,1079.08,910.76,2024.36,807.6,844.24,944.09,855.13,477.37,1819.95,3357.92,2491.98,1349.89,166.14,2258.36,551.4,0.0,3190.0,868.39,1338.18
Mexicali,3496.48,2718.52,2052.68,2238.64,4191.12,2083.85,2510.48,3892.24,2028.43,2546.86,2273.13,2878.9,4175.79,1933.81,2155.31,2361.79,1234.83,2450.6,2389.43,4113.59,2389.29,3060.82,1396.83,171.89,695.07,2252.32,3335.65,1353.73,3238.12,3176.88,0.0,2807.83,1849.92
Acapulco,1176.93,390.15,756.83,1283.5,1871.57,1108.25,607.77,1572.69,937.13,846.41,753.21,589.84,1856.24,1217.59,868.21,570.74,1813.49,596.73,633.37,1794.04,644.26,604.22,1441.91,2979.88,2113.94,645.4,1016.1,1880.32,399.19,857.32,2811.96,0.0,960.14
Tepic,1648.05,870.1,204.26,996.59,2342.69,662.18,662.06,2043.82,180.91,628.7,424.7,1030.48,2327.36,904.88,422.14,513.36,1140.32,602.17,541.01,2265.17,540.86,1212.39,479.6,2017.57,1151.63,403.9,1487.22,918.0,1389.69,1328.45,1849.65,959.41,0.0
